name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
Kyle Naughton,Swansea,28,RB,3,5.0,170,4.5,2.00%,82,1.0,England,0,4,16,0,0
Joel Matip,Liverpool,25,CB,3,25.0,1313,5.5,2.30%,97,2.0,Cameroon,0,3,10,1,1
Siem de Jong,Newcastle+United,28,AM,1,5.5,341,5.0,0.10%,0,2.0,Netherlands,0,4,13,0,0
Gareth Barry,Everton,36,DM,2,1.5,1331,4.5,1.70%,68,1.0,England,0,6,7,0,0
Kabasele,Watford,26,CB,3,5.5,177,4.5,0.20%,35,2.0,Belgium,0,3,18,0,1
Danny Ings,Liverpool,24,CF,1,8.0,748,5.5,0.10%,0,1.0,England,0,2,10,1,0
Fernando,Manchester+City,32,DM,2,18.0,338,4.5,0.40%,18,3.0,Brazil,0,5,11,1,0
Dominic Solanke,Liverpool,19,CF,1,2.0,671,5.0,2.00%,0,1.0,England,0,1,10,1,0
Danny Drinkwater,Leicester+City,27,CM,2,9.0,714,5.0,0.20%,69,1.0,England,0,3,9,0,0
Phil Jagielka,Everton,34,CB,3,2.0,566,5.0,6.30%,104,1.0,England,0,6,7,0,0
Claudio Yacob,West+Brom,30,DM,2,4.0,165,4.5,0.40%,54,3.0,Argentina,0,4,19,0,0
Glenn Murray,Brighton+and+Hove,33,CF,1,3.5,496,6.0,1.30%,0,1.0,England,0,5,3,0,0
Winston Reid,West+Ham,29,CB,3,10.0,338,5.0,0.40%,102,4.0,New Zealand,0,4,20,0,0
Rob Holding,Arsenal,21,CB,3,7.0,666,5.0,1.70%,32,1.0,England,0,1,1,1,1
Matthew Pennington,Everton,22,CB,3,0.5,219,4.0,1.70%,9,1.0,England,0,2,7,0,0
Bernardo Silva,Manchester+City,22,RW,1,40.0,1098,8.0,4.60%,0,2.0,Portugal,1,2,11,1,0
James Collins,West+Ham,33,CB,3,2.0,187,4.5,0.90%,69,2.0,Wales,0,5,20,0,0
Ã‰tienne Capoue,Watford,29,DM,2,9.0,412,5.5,8.00%,131,2.0,France,0,4,18,0,0
Manolo Gabbiadini,Southampton,25,CF,1,15.0,2012,7.0,5.20%,38,2.0,Italy,0,3,14,0,0
Christian Benteke,Crystal+Palace,26,CF,1,28.0,1661,8.0,10.50%,136,2.0,Belgium,0,3,6,0,1
Giannelli Imbula,Stoke+City,24,DM,2,12.0,238,4.5,0.20%,24,2.0,France,0,2,15,0,0
Steve Cook,Bournemouth,26,CB,3,5.0,184,5.0,2.00%,112,1.0,England,0,3,2,0,0
Mame Biram Diouf,Stoke+City,29,CF,1,7.0,310,5.5,0.40%,51,4.0,Senegal,0,4,15,0,0
Sead Kolasinac,Arsenal,24,LB,3,15.0,618,6.0,6.90%,0,2.0,Bosnia,1,2,1,1,0
Luka Milivojevic,Crystal+Palace,26,DM,2,10.0,407,5.0,0.20%,42,2.0,Serbia,0,3,6,0,0
Nampalys Mendy,Leicester+City,25,DM,2,10.0,325,4.5,0.10%,6,2.0,France,0,3,9,0,1
Olivier Giroud,Arsenal,30,CF,1,22.0,2230,8.5,2.50%,116,2.0,France,0,4,1,1,0
Joshua King,Bournemouth,25,SS,1,8.0,997,7.5,10.40%,178,2.0,Norway,0,3,2,0,0
Emiliano Martinez,Arsenal,24,GK,4,1.0,372,4.0,4.20%,8,3.0,Argentina,0,2,1,1,0
Jason Puncheon,Crystal+Palace,31,AM,1,5.5,427,5.0,1.20%,92,1.0,England,0,4,6,0,0
Simon Francis,Bournemouth,32,RB,3,2.5,167,4.5,4.00%,89,1.0,England,0,5,2,0,0
Steven Davis,Southampton,32,CM,2,6.0,310,5.0,0.20%,77,2.0,Northern Ireland,0,5,14,0,0
Lucas Perez,Arsenal,28,CF,1,15.0,2055,7.5,0.10%,20,2.0,Spain,0,4,1,1,1
Kasper Schmeichel,Leicester+City,30,GK,4,10.0,1601,5.0,2.40%,109,2.0,Denmark,0,4,9,0,0
Ryan Shawcross,Stoke+City,29,CB,3,11.0,281,5.0,1.00%,94,2.0,England,0,4,15,0,0
Scott Dann,Crystal+Palace,30,CB,3,5.0,217,5.0,1.10%,61,1.0,England,0,4,6,0,0
Alex Iwobi,Arsenal,21,LW,1,10.0,1812,5.5,1.00%,89,4.0,Nigeria,0,1,1,1,0
James Ward-Prowse,Southampton,22,CM,2,15.0,416,5.5,2.20%,92,1.0,England,0,2,14,0,0
Sofiane Boufal,Southampton,23,AM,1,15.0,590,6.0,0.30%,40,4.0,Morocco,0,2,14,0,1
Jermain Defoe,Bournemouth,34,CF,1,5.0,3213,8.0,15.00%,166,1.0,England,0,6,2,0,0
YounÃ¨s Kaboul,Watford,31,CB,3,2.5,263,4.5,0.10%,57,2.0,France,0,4,18,0,1
Bruno,Brighton+and+Hove,36,RB,1,0.5,215,4.5,0.40%,0,3.0,Argentina,0,6,3,0,0
Aleksandar Kolarov,Manchester+City,31,LB,3,10.0,633,5.5,1.10%,95,2.0,Serbia,0,4,11,1,0
Jan Vertonghen,Tottenham,30,CB,3,28.0,511,6.0,9.00%,126,2.0,Belgium,0,4,17,1,0
Karl Darlow,Newcastle+United,26,GK,4,4.5,235,4.5,1.10%,0,1.0,England,0,3,13,0,0
Sheyi Ojo,Liverpool,20,LW,1,2.0,383,5.0,0.10%,0,1.0,England,0,1,10,1,0
Andy Williams,Huddersfield,26,CB,3,0.65,3,5.0,0.10%,0,3.0,Trinidad and Tobago,0,3,8,0,0
Edimilson Fernandes,West+Ham,21,CM,2,5.0,288,4.5,0.40%,38,2.0,Switzerland,0,1,20,0,1
Son Heung-min,Tottenham,25,LW,1,30.0,2185,8.0,1.60%,174,4.0,South Korea,0,3,17,1,0
Mason Holgate,Everton,20,CB,3,5.0,344,4.5,2.90%,54,1.0,England,0,1,7,0,0
Georges-Kevin N%27Koudou,Tottenham,22,LW,1,7.0,510,5.5,0.10%,8,2.0,France,0,2,17,1,1
Aaron Mooy,Huddersfield,26,CM,2,5.0,588,5.5,2.50%,0,4.0,Australia,0,3,8,0,0
Claudio Bravo,Manchester+City,34,GK,4,8.0,436,5.0,1.20%,73,3.0,Chile,0,6,11,1,1
Adam Smith,Bournemouth,26,RB,3,5.0,200,5.0,0.90%,104,1.0,England,0,3,2,0,0
Gabriel Paulista,Arsenal,26,CB,3,13.0,552,5.0,0.10%,45,3.0,Brazil,0,3,1,1,0
Jeremy Pied,Southampton,28,RM,2,3.5,136,4.5,0.10%,5,2.0,France,0,4,14,0,1
Kevin Long,Burnley,26,CB,3,0.5,68,4.0,1.70%,3,2.0,Ireland,0,3,4,0,0
Sadio Mane,Liverpool,25,LW,1,40.0,3219,9.5,5.30%,156,4.0,Senegal,0,3,10,1,1
Jordan Henderson,Liverpool,27,CM,2,28.0,1236,5.5,1.80%,73,1.0,England,0,3,10,1,0
Hal Robson-Kanu,West+Brom,28,LW,1,2.5,766,5.0,0.70%,52,2.0,Wales,0,4,19,0,1
Jeffrey Schlupp,Crystal+Palace,24,LB,3,8.0,385,5.0,0.30%,47,4.0,Ghana,0,2,6,0,0
Jordon Ibe,Bournemouth,21,RW,1,8.0,504,5.0,0.40%,36,1.0,England,0,1,2,0,0
Michael Keane,Everton,24,CB,3,18.0,1362,5.5,13.10%,113,1.0,England,0,2,7,0,0
Kevin De Bruyne,Manchester+City,26,AM,1,65.0,2252,10.0,17.50%,199,2.0,Belgium,0,3,11,1,0
Jonas Lossl,Huddersfield,28,GK,4,1.5,56,4.5,0.50%,0,2.0,Denmark,0,4,8,0,0
Tiemoue Bakayoko,Chelsea,22,DM,2,16.0,1011,5.0,1.60%,0,2.0,France,1,2,5,1,0
Joel Ward,Crystal+Palace,27,RB,3,5.0,154,5.0,0.60%,86,1.0,England,0,3,6,0,0
Kyle Walker,Manchester+City,27,RB,3,30.0,1008,6.5,18.50%,142,1.0,England,0,3,11,1,0
Andros Townsend,Crystal+Palace,26,RW,1,12.0,693,6.0,2.70%,116,1.0,England,0,3,6,0,1
Mesut Ozil,Arsenal,28,AM,1,50.0,4395,9.5,5.60%,167,2.0,Germany,0,4,1,1,0
Harry Winks,Tottenham,21,CM,2,4.0,806,5.0,0.00%,30,1.0,England,0,1,17,1,0
Timothy Fosu-Mensah,Manchester+United,19,DM,2,2.5,860,4.5,0.20%,9,2.0,Netherlands,0,1,12,1,0
Sandro Ramirez,Everton,22,CF,1,10.0,373,7.5,2.10%,0,2.0,Spain,1,2,7,0,0
Daryl Janmaat,Watford,27,RB,3,7.0,242,5.0,0.30%,50,2.0,Netherlands,0,3,18,0,1
Joel Castro Pereira,Manchester+United,21,GK,4,0.1,395,4.0,1.00%,6,2.0,Portugal,0,1,12,1,0
Peter Crouch,Stoke+City,36,CF,1,1.5,2656,5.0,2.90%,79,1.0,England,0,6,15,0,0
Marcus Rashford,Manchester+United,19,CF,1,18.0,3668,7.5,4.80%,76,1.0,England,0,1,12,1,0
Glen Johnson,Stoke+City,32,RB,3,5.0,512,4.5,0.80%,56,1.0,England,0,5,15,0,0
Kasey Palmer,Huddersfield,20,AM,1,0.75,220,5.5,0.20%,0,1.0,England,0,1,8,0,0
Marc Albrighton,Leicester+City,27,LM,2,6.0,347,5.5,1.10%,95,1.0,England,0,3,9,0,0
Erik Lamela,Tottenham,25,RW,1,25.0,672,6.5,0.10%,28,3.0,Argentina,0,3,17,1,0
Lee Chung-yong,Crystal+Palace,29,RW,1,1.5,327,4.5,0.10%,24,4.0,South Korea,0,4,6,0,0
Dale Stephens,Brighton+and+Hove,27,CM,2,5.0,122,4.5,0.90%,0,1.0,England,0,3,3,0,0
Craig Dawson,West+Brom,27,RB,3,6.0,215,5.0,6.00%,102,1.0,England,0,3,19,0,0
John Stones,Manchester+City,23,CB,3,35.0,1078,5.5,2.30%,59,1.0,England,0,2,11,1,1
Nacho Monreal,Arsenal,31,LB,3,13.0,555,5.5,4.70%,115,2.0,Spain,0,4,1,1,0
Fernando Llorente,Swansea,32,CF,1,6.0,1423,7.5,0.70%,146,2.0,Spain,0,5,16,0,1
Theo Walcott,Arsenal,28,RW,1,20.0,2393,7.5,1.50%,122,1.0,England,0,4,1,1,0
Jonny Evans,West+Brom,29,CB,3,7.0,375,5.0,1.60%,79,2.0,Northern Ireland,0,4,19,0,0
Ederson Moraes,Manchester+City,23,GK,4,22.0,297,5.5,4.50%,0,3.0,Brazil,1,2,11,1,0
Isaac Success,Watford,21,LW,1,4.0,474,5.5,0.10%,28,4.0,Nigeria,0,1,18,0,1
Simon Mignolet,Liverpool,29,GK,4,12.0,721,5.0,1.60%,110,2.0,Belgium,0,4,10,1,0
Ryan Bertrand,Southampton,27,LB,3,20.0,578,5.5,11.20%,123,1.0,England,0,3,14,0,0
Fabian Delph,Manchester+City,27,CM,2,8.0,520,4.5,0.40%,13,1.0,England,0,3,11,1,0
Roque Mesa,Swansea,28,CM,2,12.0,110,4.5,0.90%,0,2.0,Spain,1,4,16,0,0
Roberto Firmino,Liverpool,25,SS,1,38.0,2196,8.5,20.30%,180,3.0,Brazil,0,3,10,1,0
Collin Quaner,Huddersfield,26,CF,1,1.0,126,4.5,1.60%,0,2.0,Germany,0,3,8,0,0
Daniel Sturridge,Liverpool,27,CF,1,20.0,2042,8.0,4.30%,54,1.0,England,0,3,10,1,0
Ben Chilwell,Leicester+City,20,LB,3,2.5,288,4.5,0.80%,19,1.0,England,0,1,9,0,0
Martin Kelly,Crystal+Palace,27,RB,3,3.0,210,4.5,0.30%,46,1.0,England,0,3,6,0,0
Shane Long,Southampton,30,CF,1,9.0,703,6.0,0.30%,57,2.0,Ireland,0,4,14,0,0
Josh Sims,Southampton,20,RW,1,0.5,126,4.5,0.10%,12,1.0,England,0,1,14,0,0
Ruben Loftus-Cheek,Crystal+Palace,21,CM,2,5.0,685,4.5,16.40%,6,1.0,England,0,1,6,0,0
Eduardo Carvalho,Chelsea,34,LW,1,0.05,467,5.0,0.10%,0,2.0,Portugal,0,6,5,1,1
Pascal Gross,Brighton+and+Hove,26,CM,2,4.0,22,5.5,0.30%,0,2.0,Germany,0,3,3,0,0
Nathan Redmond,Southampton,23,RW,1,15.0,706,6.5,11.30%,126,1.0,England,0,2,14,0,1
Sofiane Feghouli,West+Ham,27,RW,1,12.0,394,5.5,0.20%,55,4.0,Algeria,0,3,20,0,1
Michael Carrick,Manchester+United,35,DM,2,1.5,1789,4.5,1.80%,42,1.0,England,0,6,12,1,0
Jack Wilshere,Arsenal,25,CM,2,18.0,1759,5.5,0.00%,61,1.0,England,0,3,1,1,0
Santi Cazorla,Arsenal,32,CM,2,12.0,943,7.0,0.10%,38,2.0,Spain,0,5,1,1,0
Oliver Norwood,Brighton+and+Hove,26,CM,2,2.5,134,4.5,0.20%,0,2.0,Northern Ireland,0,3,3,0,0
Ashley Fletcher,West+Ham,21,CF,1,1.0,412,4.5,5.90%,16,1.0,England,0,1,20,0,1
Scott Malone,Huddersfield,26,LB,3,0.75,81,4.5,0.10%,0,1.0,England,0,3,8,0,0
James McClean,West+Brom,28,LW,1,3.0,454,5.0,0.20%,52,2.0,Ireland,0,4,19,0,0
Jonjoe Kenny,Everton,20,RB,3,0.25,53,4.5,0.20%,1,1.0,England,0,1,7,0,0
Sergio Aguero,Manchester+City,29,CF,1,65.0,4046,11.5,9.70%,175,3.0,Argentina,0,4,11,1,0
Wilfried Zaha,Crystal+Palace,24,RW,1,18.0,1709,7.0,20.90%,149,4.0,Cote d'Ivoire,0,2,6,0,0
Mathew Ryan,Brighton+and+Hove,25,GK,4,3.5,344,4.5,1.50%,0,4.0,Australia,0,3,3,0,0
Sam Vokes,Burnley,27,CF,1,4.5,290,6.0,2.90%,121,2.0,Wales,0,3,4,0,0
Salomon Rondon,West+Brom,27,CF,1,15.0,502,6.5,2.00%,118,3.0,Venezuela,0,3,19,0,0
Harry Arter,Bournemouth,27,CM,2,2.5,666,5.0,0.90%,84,2.0,Ireland,0,3,2,0,0
Saido Berahino,Stoke+City,23,CF,1,15.0,841,6.0,0.80%,26,1.0,England,0,2,15,0,0
Josh Tymon,Stoke+City,18,LB,3,1.0,120,4.5,0.10%,9,1.0,England,0,1,15,0,0
Andrew Surman,Bournemouth,30,CM,2,2.0,154,4.5,1.10%,44,1.0,England,0,4,2,0,0
Sam Byram,West+Ham,23,RB,3,4.5,198,4.5,0.30%,29,1.0,England,0,2,20,0,0
Andre Ayew,West+Ham,27,LW,1,18.0,845,7.0,3.40%,89,4.0,Ghana,0,3,20,0,1
Jefferson Montero,Swansea,27,LW,1,4.5,187,5.0,0.10%,18,3.0,Ecuador,0,3,16,0,0
Wes Morgan,Leicester+City,33,CB,3,3.0,649,4.5,3.30%,63,3.0,Jamaica,0,5,9,0,0
Connor Goldson,Brighton+and+Hove,24,CB,3,0.75,52,4.0,0.80%,0,1.0,England,0,2,3,0,0
Joe Lolley,Huddersfield,24,RW,1,0.25,63,4.5,0.10%,0,1.0,England,0,2,8,0,0
Michy Batshuayi,Chelsea,23,CF,1,25.0,1162,8.5,1.60%,48,2.0,Belgium,0,2,5,1,1
Phil Jones,Manchester+United,25,CB,3,14.0,808,5.0,0.40%,55,1.0,England,0,3,12,1,0
Nordin Amrabat,Watford,30,LW,1,4.5,295,5.0,0.10%,65,4.0,Morocco,0,4,18,0,0
